attempt_id,combo_key,x_wind_mps,y_wind_mps,wind_magnitude_mps,old_airspeed_cruise_mps,wind_minus_old_cruise_mps,wind_to_old_cruise_ratio,status,duration_wall_s,square_completed,loiter_completed,mission_completed_full,mission_timed_out,bookkeeping_recovered_stale_running_record,last_statustext,raw_log_path,attempt_dir,notes,failure_interpretation
wind_x_00_y_04__rep_01__attempt_001,wind_x_00_y_04,0.0,4.0,4.0,14.0,-10.0,0.2857142857142857,interrupted,22.7,False,False,False,False,True,,,[internal]/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_00_y_04/runs/attempt_001,bookkeeping_recovered_stale_running_record,stale_or_incomplete_bookkeeping_record
wind_x_00_y_04__rep_01__attempt_002,wind_x_00_y_04,0.0,4.0,4.0,14.0,-10.0,0.2857142857142857,interrupted,88.4,False,False,False,False,True,,,[internal]/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_00_y_04/runs/attempt_002,wind_injection_artifact=[internal]/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_00_y_04/runs/attempt_002/wind_injection.json | bookkeeping_recovered_stale_running_record,stale_or_incomplete_bookkeeping_record
wind_x_04_y_08__rep_01__attempt_001,wind_x_04_y_08,4.0,8.0,8.94427190999916,14.0,-5.055728090000841,0.6388765649999399,interrupted,10.3,False,False,False,False,True,,,[internal]/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_04_y_08/runs/attempt_001,bookkeeping_recovered_stale_running_record,stale_or_incomplete_bookkeeping_record
wind_x_12_y_00__rep_01__attempt_001,wind_x_12_y_00,12.0,0.0,12.0,14.0,-2.0,0.8571428571428571,failed,1906.7,False,False,False,True,False,"['Mission: 20 WP', 'Reached waypoint #20 dist 10m', 'Mission: 21 WP']",[internal]/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_12_y_00/runs/attempt_001/wind_x_12_y_00__rep_01__attempt_001.BIN,[internal]/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_12_y_00/runs/attempt_001,"wind_injection_artifact=[internal]/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_12_y_00/runs/attempt_001/wind_injection.json | mission_timed_out | last_statustext=['Mission: 20 WP', 'Reached waypoint #20 dist 10m', 'Mission: 21 WP'] | source_bin_name=00000001.BIN | bin_collection_method=isolated_sitl_use_dir | full=False square=False loiter_completed=False accept_square_only=True",mission_timeout_under_valid_wind
wind_x_12_y_00__rep_01__attempt_002,wind_x_12_y_00,12.0,0.0,12.0,14.0,-2.0,0.8571428571428571,failed,2496.4,True,False,False,True,False,"['Mission: 22 WP', 'Reached waypoint #22 dist 20m', 'Mission: 23 LoitTurns']",[internal]/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_12_y_00/runs/attempt_002/wind_x_12_y_00__rep_01__attempt_002.BIN,[internal]/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_12_y_00/runs/attempt_002,"wind_injection_artifact=[internal]/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_12_y_00/runs/attempt_002/wind_injection.json | mission_timed_out | last_statustext=['Mission: 22 WP', 'Reached waypoint #22 dist 20m', 'Mission: 23 LoitTurns'] | source_bin_name=00000001.BIN | bin_collection_method=isolated_sitl_use_dir | full=False square=True loiter_completed=False accept_square_only=True",mission_timeout_under_valid_wind
wind_x_12_y_04__rep_01__attempt_001,wind_x_12_y_04,12.0,4.0,12.649110640673518,14.0,-1.350889359326482,0.9035079029052513,failed,3037.1,True,False,False,True,False,"['Mission: 22 WP', 'Reached waypoint #22 dist 19m', 'Mission: 23 LoitTurns']",[internal]/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_12_y_04/runs/attempt_001/wind_x_12_y_04__rep_01__attempt_001.BIN,[internal]/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_12_y_04/runs/attempt_001,"wind_injection_artifact=[internal]/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_12_y_04/runs/attempt_001/wind_injection.json | mission_timed_out | last_statustext=['Mission: 22 WP', 'Reached waypoint #22 dist 19m', 'Mission: 23 LoitTurns'] | source_bin_name=00000001.BIN | bin_collection_method=isolated_sitl_use_dir | full=False square=True loiter_completed=False accept_square_only=True",mission_timeout_under_valid_wind
wind_x_08_y_12__rep_01__attempt_001,wind_x_08_y_12,8.0,12.0,14.422205101855956,14.0,0.4222051018559565,1.0301575072754254,failed,4537.4,False,False,False,True,False,"['Mission: 4 WP', 'Reached waypoint #4 dist 0m', 'Mission: 5 WP']",[internal]/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_08_y_12/runs/attempt_001/wind_x_08_y_12__rep_01__attempt_001.BIN,[internal]/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_08_y_12/runs/attempt_001,"wind_injection_artifact=[internal]/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_08_y_12/runs/attempt_001/wind_injection.json | mission_timed_out | last_statustext=['Mission: 4 WP', 'Reached waypoint #4 dist 0m', 'Mission: 5 WP'] | source_bin_name=00000001.BIN | bin_collection_method=isolated_sitl_use_dir | full=False square=False loiter_completed=False accept_square_only=True",mission_timeout_under_valid_wind
wind_x_12_y_08__rep_01__attempt_001,wind_x_12_y_08,12.0,8.0,14.422205101855956,14.0,0.4222051018559565,1.0301575072754254,failed,4537.4,False,False,False,True,False,"['Mission: 3 WP', 'Reached waypoint #3 dist 19m', 'Mission: 4 WP']",[internal]/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_12_y_08/runs/attempt_001/wind_x_12_y_08__rep_01__attempt_001.BIN,[internal]/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_12_y_08/runs/attempt_001,"wind_injection_artifact=[internal]/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_12_y_08/runs/attempt_001/wind_injection.json | mission_timed_out | last_statustext=['Mission: 3 WP', 'Reached waypoint #3 dist 19m', 'Mission: 4 WP'] | source_bin_name=00000001.BIN | bin_collection_method=isolated_sitl_use_dir | full=False square=False loiter_completed=False accept_square_only=True",mission_timeout_under_valid_wind
wind_x_12_y_08__rep_01__attempt_002,wind_x_12_y_08,12.0,8.0,14.422205101855956,14.0,0.4222051018559565,1.0301575072754254,running,796.4,False,False,False,False,False,,,[internal]/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_12_y_08/runs/attempt_002,wind_injection_artifact=[internal]/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_12_y_08/runs/attempt_002/wind_injection.json,non_accepted_campaign_record
wind_x_12_y_12__rep_01__attempt_001,wind_x_12_y_12,12.0,12.0,16.97056274847714,14.0,2.970562748477139,1.2121830534626528,failed,4536.9,False,False,False,True,False,"['Takeoff level-off starting at 14m', 'Takeoff complete at 100.18m', 'Mission: 2 WP']",[internal]/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_12_y_12/runs/attempt_001/wind_x_12_y_12__rep_01__attempt_001.BIN,[internal]/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_12_y_12/runs/attempt_001,"wind_injection_artifact=[internal]/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_12_y_12/runs/attempt_001/wind_injection.json | mission_timed_out | last_statustext=['Takeoff level-off starting at 14m', 'Takeoff complete at 100.18m', 'Mission: 2 WP'] | source_bin_name=00000001.BIN | bin_collection_method=isolated_sitl_use_dir | full=False square=False loiter_completed=False accept_square_only=True",mission_timeout_under_valid_wind
